# X Z alpha M alpha_nu logL Teff log<L> <Teff> ndom Pdom       
0.6 0.006 2.5 2.6 0.05 4.270 3779 4.270 3590  0  332.1
0.6 0.006 2.5 2.6 0.10 4.295 3759 4.295 3577  0  356.0
0.6 0.006 2.5 2.6 0.20 4.330 3731 4.330 3547  0  396.5
0.6 0.010 1.5 1.0 0.00 3.250 3311 3.264 3258  1   58.8
0.6 0.010 1.5 1.0 0.01 3.255 3306 3.268 3256  1   59.5
0.6 0.010 1.5 1.0 0.02 3.255 3306 3.267 3256  1   59.5
0.6 0.010 1.5 1.0 0.05 3.290 3273 3.298 3234  1   65.9
0.6 0.010 1.5 1.0 0.10 3.325 3239 3.332 3201  0  146.0
0.6 0.010 1.5 1.0 0.20 3.585 2990 3.591 2921  0  296.9
0.6 0.010 1.5 2.6 0.00 4.030 3120 4.036 3022  0  344.2
0.6 0.010 1.5 2.6 0.01 4.025 3125 4.036 3024  0  340.1
0.6 0.010 1.5 2.6 0.02 4.050 3102 4.051 2962  0  373.5
0.6 0.010 1.5 2.6 0.05 4.060 3092 4.062 2949  0  391.2
0.6 0.010 1.5 2.6 0.10 4.100 3054 4.102 2935  0  430.8
0.6 0.010 1.5 2.6 0.20 4.145 3013 4.145 2965  0  494.5
0.6 0.010 2.0 1.0 0.00 3.350 3639 3.347 3535  1   53.8
0.6 0.010 2.0 1.0 0.01 3.355 3634 3.350 3536  1   54.1
0.6 0.010 2.0 1.0 0.02 3.365 3625 3.360 3523  1   55.7
0.6 0.010 2.0 1.0 0.05 3.415 3579 3.411 3467  1   64.1
0.6 0.010 2.0 1.0 0.10 3.525 3477 3.525 3356  0  184.4
0.6 0.010 2.0 1.0 0.20 3.655 3355 3.657 3149  0  270.5
0.6 0.010 2.0 2.6 0.00 4.140 3435 4.140 3264  0  334.2
0.6 0.010 2.0 2.6 0.01 4.150 3425 4.150 3243  0  344.4
0.6 0.010 2.0 2.6 0.02 4.165 3411 4.164 3232  0  362.9
0.6 0.010 2.0 2.6 0.05 4.190 3387 4.189 3183  0  395.0
0.6 0.010 2.0 2.6 0.10 4.220 3358 4.219 3168  0  433.8
0.6 0.010 2.0 2.6 0.20 4.240 3339 4.239 3120  0  477.2
0.6 0.010 2.5 1.0 0.00 3.405 3882 3.397 3775  1   47.5
0.6 0.010 2.5 1.0 0.01 3.415 3873 3.407 3767  1   49.1
0.6 0.010 2.5 1.0 0.02 3.435 3857 3.426 3726  1   52.0
0.6 0.010 2.5 1.0 0.05 3.490 3812 3.484 3695  1   59.9
0.6 0.010 2.5 1.0 0.10 3.570 3745 3.568 3639  0  151.8
0.6 0.010 2.5 1.0 0.20 3.725 3612 3.726 3411  0  251.8
0.6 0.010 2.5 2.6 0.00 4.195 3693 4.195 3473  0  312.9
0.6 0.010 2.5 2.6 0.01 4.215 3676 4.215 3445  0  328.1
0.6 0.010 2.5 2.6 0.02 4.235 3658 4.234 3438  0  349.5
0.6 0.010 2.5 2.6 0.05 4.265 3632 4.264 3399  0  382.3
0.6 0.010 2.5 2.6 0.10 4.285 3615 4.284 3403  0  404.1
0.6 0.010 2.5 2.6 0.20 4.320 3583 4.319 3279  0  479.8
0.7 0.002 1.5 1.0 0.00 3.220 3751 3.232 3716  1   36.9
0.7 0.002 1.5 1.0 0.01 3.230 3743 3.241 3708  1   37.8
0.7 0.002 1.5 1.0 0.02 3.230 3743 3.240 3710  1   37.9
0.7 0.002 1.5 1.0 0.05 3.290 3694 3.298 3657  1   44.2
0.7 0.002 1.5 1.0 0.10 3.315 3674 3.321 3638  1   46.8
0.7 0.002 1.5 1.0 0.20 3.525 3497 3.525 3437  1   79.3
0.7 0.002 1.5 2.6 0.00 4.020 3565 4.021 3490  0  235.1
0.7 0.002 1.5 2.6 0.01 4.035 3552 4.035 3468  1  115.4
0.7 0.002 1.5 2.6 0.02 4.055 3535 4.055 3447  1  121.9
